brand,country_founding,year_founding
8Greens,United States,2015
AERIN,United States,2012
ALTERNA Haircare,United States,1997
AMOREPACIFIC,South Korea,1945
Acqua Di Parma,Italy,1916
Aether Beauty,United States,2018
Algenist,United States,2011
Alpha-H,Australia,1995
Anastasia Beverly Hills,United States,1997
Anthony,United States,2000
Antonym,United States,2010
Aquis,United States,2012
Armani Beauty,Italy,2000
Artis,United States,2013
Artist Couture,United States,2014
Atelier Cologne,France,2009
BALENCIAGA,Spain,1917
BECCA,Australia,2001
BERDOUES,France,1902
BURBERRY,United Kingdom,1856
BVLGARI,Italy,1884
Beachwaver,United States,2010
BeautyBio,United States,2005
Benefit Cosmetics,United States,1976
Better Not Younger,United States,2018
Bio Ionic,United States,1990
Biossance,United States,2016
Bite Beauty,Canada,2011
Black Up,France,1999
Blinc,United States,1999
Bobbi Brown,United States,1991
Briogeo,United States,2013
Bumble and bumble,United States,1977
Buxom,United States,2007
By Rosie Jane,United States,2010
Bésame Cosmetics,United States,2004
CHANEL,France,1910
CLEAN RESERVE,United States,2015
CLINIQUE,United States,1968
COOLA,United States,2007
COVER FX,Canada,2000
Calvin Klein,United States,1968
Capri Blue,United States,1999
Carolina Herrera,United States,1981
Caudalie,France,1995
Cellu-cup,France,2015
Charlotte Tilbury,United Kingdom,2013
Chloé,France,1952
Christian Louboutin,France,1991
Christophe Robin,France,1999
Ciaté London,United Kingdom,2009
Cinema Secrets,United States,1985
Clarins,France,1954
Clarisonic Skincare,United States,2004
Coal and Canary,Canada,2014
Cocofloss,United States,2015
Commodity,United States,2013
Comptoir Sud Pacifique,France,1974
Conture,United States,2017
Crushed Tonic,Canada,2014
DEREK LAM 10 CROSBY,United States,2011
DERMAFLASH,United States,2015
DL.MD,United States,2014
DOLCE&GABBANA,Italy,1985
DOMINIQUE COSMETICS,United States,2018
DUO,United States,1954
Deborah Lippmann,United States,1999
Dermalogica,United States,1986
DevaCurl,United States,1994
Dior,France,1946
Donna Karan,United States,1984
Dr Roebuck's,Australia,2016
Dr. Barbara Sturm,Germany,2014
Dr. Brandt Skincare,United States,1999
Dr. Dennis Gross Skincare,United States,2000
Dr. Jart+,South Korea,2004
Drunk Elephant,United States,2012
Drybar,United States,2010
ELLIS BROOKLYN,United States,2015
Earth’s Nectar,Canada,2012
Edible Beauty,Australia,2014
Eight & Bob,France,1937
Elizabeth and James,United States,2007
Erborian,France,2007
Erno Laszlo,United States,1927
Estée Lauder,United States,1946
Etat Libre d'Orange,France,2006
Eve Lom,United Kingdom,1985
Evian,France,1789
FARSÁLI,United States,2014
FENTY BEAUTY by Rihanna,United States,2017
FOREO,Sweden,2013
FORM,null,2017
Fable & Mane,United Kingdom,2020
Farmacy,United States,2015
First Aid Beauty,United States,2009
Flora + Bast,United States,2017
Floral Street,United Kingdom,2017
Four Sigmatic,United States,2012
Fresh,United States,1991
GLAMGLOW,United States,2010
GLO Science,United States,2009
Givenchy,France,1952
Glow Recipe,United States,2014
Golde,United States,2017
Good Dye Young,United States,2016
Google,United States,1998
Grande Cosmetics,United States,2008
Gucci,Italy,1921
Guerlain,France,1828
HERMÈS,France,1837
HUDA BEAUTY,United States,2013
HUM Nutrition,United States,2012
Herbivore,United States,2011
High Beauty,United States,2018
Hourglass,United States,2004
IGK,United States,2016
ILIA,United States,2011
INC.redible,United Kingdom,2017
IT Cosmetics,United States,2008
Indie Lee,United States,2011
Isle of Paradise,United Kingdom,2018
JIMMY CHOO,United Kingdom,1996
Jack Black,United States,2000
Jillian Dempsey,United States,2014
Jo Malone London,United Kingdom,1994
John Varvatos,United States,2000
Josie Maran,United States,2007
Jouer Cosmetics,United States,2008
Juicy Couture,United States,1997
Juliette Has a Gun,France,2006
KENZOKI,France,1988
KEVYN AUCOIN,United States,2001
KNC Beauty,United States,2016
KORA Organics,Australia,2009
KORRES,Greece,1996
KVD Vegan Beauty,United States,2008
Kaja,South Korea,2018
Kate Somerville,United States,2004
Kenzo,France,1970
Kiehl's Since 1851,United States,1851
Kilian,France,2007
Kitsch,United States,2010
Klorane,France,1965
Koh Gen Do,Japan,1986
Kopari,United States,2015
Kosas,United States,2015
Kérastase,France,1964
L'Occitane,France,1976
LANCER Skincare,United States,1985
LANEIGE,South Korea,1994
LASHFOOD,United States,2006
LAVANILA,United States,2003
LAWLESS,United States,2018
LXMI,United States,2015
La Mer,United States,1965
Lab Series For Men,United States,1987
Lancôme,France,1935
Laura Mercier,United States,1996
LightStim,United States,2002
Lilly Lashes,United States,2013
Living Proof,United States,2005
Lord Jones,United States,2015
Lunar Beauty,United States,2018
MAELYS Cosmetics,United States,2018
MAKE UP FOR EVER,France,1984
MDSolarSciences,United States,1999
MILK MAKEUP,United States,2016
Madam C.J. Walker Beauty Culture,United States,2013
Maison Louis Marie,United States,2012
Maison Margiela,France,1988
Makeup Eraser,United States,2013
Marc Jacobs Beauty,United States,2013
Marc Jacobs Fragrances,United States,2001
Mario Badescu,United States,1967
Marvis,Italy,1958
Melt Cosmetics,United States,2013
Michael Kors,United States,1981
Miu Miu,Italy,1993
Mizani,United States,1991
Montblanc,Germany,1906
Moon Juice,United States,2011
Moroccanoil,United States,2007
Moschino,Italy,1983
Mount Lai,United States,2017
Mugler,France,1974
Murad,United States,1989
NAILS INC.,United Kingdom,1999
NARS,United States,1994
NEST New York,United States,2008
NUDESTIX,Canada,2014
Narciso Rodriguez,United States,1997
Natasha Denona,Israel,2016
Naturally Serious,United States,2016
NuFACE,United States,2005
Nurse Jamie,United States,2005
O&M,Australia,2010
OLEHENRIKSEN,United States,1984
OUAI,United States,2016
Obagi Clinical,United States,1988
Olaplex,United States,2014
Omorovicza,Hungary,2006
Origins,United States,1990
Overose,France,2016
PAT McGRATH LABS,United States,2015
PATRICK TA,United States,2019
PHLUR,United States,2015
PINROSE,United States,2014
PLAY! by SEPHORA,United States,2015
PMD,United States,2010
Paco Rabanne,France,1966
Peace Out,United States,2016
Perricone MD,United States,1997
Peter Thomas Roth,United States,1993
Pink Sugar,Italy,2004
Playa,United States,2017
Prada,Italy,1913
Pretty Vulgar,United States,2016
Prima,United States,2018
Primera,South Korea,2015
Proactiv,United States,1995
Qhemet Biologics,United States,2009
REN Clean Skincare,United Kingdom,2000
RODIN olio lusso,United States,2007
ROEN BEAUTY,United States,2019
Rahua,United States,2008
Ralph Lauren,United States,1967
ReFa,Japan,2009
Reverie,United States,2009
Rita Hazan,United States,2009
Rosebud Perfume Co.,United States,1892
Rossano Ferretti Parma,Italy,1988
SEPHORA COLLECTION,France,1999
SHHHOWERCAP,United States,2015
SK-II,Japan,1980
SKYLAR,United States,2017
SOBEL SKIN Rx,United States,2016
STELLAR,Canada,2017
SUNDAY RILEY,United States,2009
Sachajuan,Sweden,2004
Saint Jane Beauty,United States,2019
Sakara Life,United States,2011
Saturday Skin,United States,2017
Seed Phytonutrients,United States,2016
Sephora Favorites,United States,2015
Shani Darden Skin Care,United States,2013
Shaveworks,United States,1996
Shiseido,Japan,1872
Skin Inc Supplement Bar,Singapore,2008
Skin Laundry,United States,2013
Skinfix,Canada,1994
Slip,Australia,2004
Smashbox,United States,1996
Sol de Janeiro,United States,2015
St. Tropez,United Kingdom,1996
StackedSkincare,United States,2014
Sulwhasoo,South Korea,1997
Summer Fridays,United States,2018
Supergoop!,United States,2007
T3,United States,2003
TAN-LUXE,United Kingdom,2015
TOCCA,United States,1994
TOM FORD,United States,2005
TWEEZERMAN,United States,1980
Taste Beauty,United States,2015
Tata Harper,United States,2010
Tatcha,United States,2009
The 7 Virtues,Canada,2010
The Art of Shaving,United States,1996
The Beauty Chef,Australia,2009
The INKEY List,United Kingdom,2018
The Ordinary,Canada,2016
Together Beauty,United States,2018
TokyoMilk,United States,2006
Too Cool For School,South Korea,2009
Too Faced,United States,1998
Tory Burch,United States,2004
Touch In Sol,South Korea,2015
Tower 28 Beauty,United States,2019
Urban Decay,United States,1996
VOLUSPA,United States,1999
Valentino,Italy,1960
Velour Lashes,United States,2012
Verb,United States,2013
Versace,Italy,1978
Viktor&Rolf,Netherlands,1993
Violet Voss,United States,2012
Virtue,United States,2017
Viseart,France,2008
Vital Proteins,United States,2013
Vitruvi,Canada,2014
Volition Beauty,United States,2018
Wander Beauty,United States,2015
WelleCo,Australia,2014
Winky Lux,United States,2015
Wishful,United States,2020
YUNI,United States,2017
Youth To The People,United States,2015
Yves Saint Laurent,France,1961
alpyn beauty,United States,2018
amika,United States,2007
bareMinerals,United States,1995
beautyblender,United States,2003
belif,South Korea,2010
bkr,United States,2011
boscia,United States,2002
dae,United States,2020
dpHUE,United States,2015
dyson,United Kingdom,1991
ghd,United Kingdom,2001
goop,United States,2008
innisfree,South Korea,2000
invisibobble,Germany,2012
kate spade new york,United States,1993
lilah b.,United States,2013
lululemon selfcare,Canada,2020
philosophy,United States,1996
rag & bone,United States,2002
rms beauty,United States,2009
shu uemura,Japan,1967
stila,United States,1994
surratt beauty,United States,2009
tarte,United States,1999
trèStiQue,United States,2015